Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
nip,SLG | FTO,TiO2-c,Cs,Spin-coating,PbI2,PEG-[60]fullerenes,Spin-coating,0.9347682175905393,Chlorobenzene,PTAA,Li-TFSI; TBP,AgAl,106.90815984180017,0,100.0-80.0,0.9504453623794944
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,Methimazole,Spin-coating,0.9128624480690888,Diethyl ether,PTAA,NPB,Al,545.7365469779404,0,60; 100-1.0; 5.0,0.9503840448820853
nip,SLG | FTO,SnO2-np,Guanidinium chloride,Spin-coating,NH4Cl,DA2PbI4,Spin-coating,0.8747828774946771,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,277.7762219308739,0,60; 100-4.0; 10.0,0.9503618505225709
pin,SLG | ITO,PCBM-60 | bis-C60,Undoped,Spin-coating | Spin-coating,none,Rb,Spin-coating,0.9662997608584168,Diethyl ether,PTAA,TAPC,AgAl,356.8338478093364,0,25; 100-10.0; 10.0,0.9503547493520729
pin,SLG | ITO,PCBM-60 | LiF,DIO,Spin-coating | Evaporation,PbAc2,Ni,Spin-coating,0.8165092685075618,Chlorobenzene,PTAA,NPB,AgAl,61.658363310228935,0,60; 100-1.0; 5.0,0.9503346088086296
nip,SLG | FTO,TiO2-c,CF3NaO2S,Spin-coating,PbI2,SQ81,Spin-coating,0.9158938924794029,Ethyl acetate,PTAA,Li-TFSI; TBP,AgAl,114.12735793350352,0,100.0; 100-10.0; 15.0,0.9501538700130869
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Pb,Rb,Spin-coating,0.8128405153009808,Chlorobenzene,PTAA,NPB,AgAl,84.75199660119475,0,60-30.0,0.9499419092008929
pin,SLG | ITO,PCBM-60 | LiF,PNDI-2T ,Spin-coating | Evaporation,PbI2; PbBr2,MA,Spin-coating,0.8184476322746311,Diethyl ether,PTAA,PolyTPD,Al,108.67299385306868,0,60.0-120.0,0.9496665939234783
pin,SLG | ITO,PCBM-60 | ZnO-np,Undoped,Spin-coating | Spin-coating,PbCl2,Diiodooctane,Spin-coating >> CBD,0.7880934129666497,Chlorobenzene,PTAA,PolyTPD,AgAl,60.4428844004435,0,60; 80-1.0; 80.0,0.9496379989745973
pin,SLG | ITO,PCBM-60 | LiF,PNDI-2T ,Spin-coating | Evaporation,none,Methimazole,Spin-coating,0.9046071060094688,Diethyl ether,PTAA,TAPC,Ca | Al,283.404176534191,0,60; 100-1.0; 7.0,0.9495083049495773
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,PbAc2,DMI,Spin-coating,0.7130246723919437,Diethyl ether,PTAA,F4-TCNQ,AgAl,95.19438915758147,0,60.0; 80.0-1.0; 2.0,0.9494882851443623
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,CBD | Spin-coating,NH4Cl,KSCN,Spin-coating,0.7647679569812885,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,Ag,270.43155455040545,0,100.0-30.0,0.9494069546711551
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,ITIC,Spin-coating,0.7606434897671979,Chlorobenzene,PTAA,TAPC,AgAl,78.91654681479261,0,60.0-90.0,0.9492719389667224
pin,SLG | ITO,PCBM-60 | ZnO-np,Undoped,Spin-coating | Spin-coating,none,MA,Spin-coating,0.7534567414972146,Diethyl ether,PTAA,NPB,Ag,102.22922736837987,1,60; 80-1.0; 2.0,0.9491366343070432
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,CBD | Spin-coating,NH4Cl,PMA,Spin-coating,0.8133799056597827,Diethyl ether,PTAA,LAD,AgAl,265.6106183024194,0,120.0-50.0,0.9491207072825377
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,Diiodooctane,Spin-coating,0.799190369816632,Chlorobenzene,PTAA,TAPC,AgAl,102.38718956735748,0,60.0-120.0,0.9489351441252024
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,NH4Cl,Diiodooctane,Spin-coating >> CBD,0.8357508035775124,Chlorobenzene,PTAA,NPB,AgAl,77.45674738842018,0,60.0-20.0,0.9487298079853491
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,NMA,Spin-coating,0.7334903398041205,Diethyl ether,PTAA,NPB,Al,303.99064121092647,0,60; 100-15.0; 30.0,0.9487164036937891
pin,SLG | ITO,PCBM-60 | ZnO-np,Undoped,Spin-coating | Spin-coating,Stoichiometric,MA,Spin-coating,0.7446716464749414,Diethyl ether,PTAA,NPB,AgAl,131.34191644191975,0,25; 90-30.0; 150.0,0.9487114846713808
nip,SLG | FTO,TiO2-c,Fe,Spin-coating,PbI2,HMTA,Spin-coating,0.909938344363416,Chlorobenzene,PTAA,Li-TFSI; TBP,AgAl,109.77599255152184,0,100.0-70.0,0.9484980989657206
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,PbI2,MA,Spin-coating,0.7673206827246614,Diethyl ether,PTAA,F4-TCNQ,AgAl,103.51284286372193,0,60.0-90.0,0.9482661154711366
nip,SLG | FTO,SnO2-c,Bi2O2S-np,Spin-coating,NH4Cl,DCL97,Spin-coating,0.7299869565434576,Chlorobenzene,PTAA,Li-TFSI,Ag,409.1433618279636,0,100.0-2.0,0.9482127498476965
