Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_additives_compounds,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_additives_compounds,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing
nip,SLG | FTO,TiO2-c | TiO2-mp, Graphene,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,100.0,Evaporation,1.055,20.1,0.7,15.0,1,80.0-15.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Al,80.0,Evaporation,0.84,18.34,0.71,10.93,0,70.0-80.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,80.0,Evaporation,0.88,22.54,0.62,12.34,0,100.0-5.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating >> CBD,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ca | Al,105.0,Evaporation | Evaporation,0.7509999999999999,14.58,0.73,8.05,1,90.0-120.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,90.0,Evaporation,,,,12.6,0,60; 100-45.0; 50.0
nip,SLG | FTO,TiO2-c,Undoped,Spray-pyrolys,1,none,Undoped,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,150.0,Evaporation,1.089,17.07,0.726,13.49,1,150.0-1.0
nip,SLG | FTO,TiO2-c,Undoped,Spray-pyrolys,1,none,Undoped,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,150.0,Evaporation,0.969,8.85,0.71,6.11,0,150.0-1.0
pin,SLG | ITO,PCBM-60 | BCP,Undoped,Spin-coating | Spin-coating,1,PbI2,MAAc,Spin-coating,0.9,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Au,100.0,Evaporation,0.14,18.03,0.24,0.61,0,100.0-10.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,120.0,Evaporation,0.93,19.2,0.61,11.0,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Mg,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,120.0,Evaporation,0.94,15.3,0.57,8.3,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Ca,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,120.0,Evaporation,0.95,19.1,0.643,11.7,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Sr,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,120.0,Evaporation,0.9,18.9,0.62,10.6,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Ba,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,120.0,Evaporation,0.93,20.2,0.65,12.3,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Ag,Spin-coating,1,none,Ba,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,120.0,Evaporation,0.93,20.7,0.66,12.7,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Zn,Spin-coating,1,none,Ba,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Undoped,Spin-coating,Ag,120.0,Evaporation,0.91,20.4,0.68,12.8,0,100.0-5.0
nip,SLG | FTO,SnO2-np,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.8,Ethyl acetate,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.03,21.32,0.716,15.77,0,100.0-10.0
