Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Spin-coating,Stoichiometric,DA2PbI4,Drop-infiltration,0.558462369913902,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,Al,100.78719665186493,0,60.0; 100.0-5.0; 10.0,0.9266595199063872
nip,SLG | FTO,SnO2-np,Potassium O-hexyl xanthate,Spin-coating,MACl,Cl; DPE,Spin-coating >> CBD,0.6958349718629783,Chlorobenzene,PTAA,Li-TFSI; TBP,AgAl,90.95203461481054,0,65.0-20.0,0.9265195651754268
nip,SLG | FTO,SnO2-np,Undoped,Spin-coating,PbAc2,DCL97,Spin-coating,0.8416669388879943,Chlorobenzene,PTAA,TPFB,AgAl,86.33630081731393,0,70.0-3.0,0.9264183681033695
nip,SLG | FTO,SnO2-c,Bi2O2S-np,Spin-coating,PbCl2,AgI,Spin-coating >> CBD,0.3302271255584997,Chlorobenzene,PTAA,Li-TFSI; TBP,AgAl,80.17891942159379,0,60; 105-45.0; 70.0,0.9263162950022924
nip,SLG | FTO,SnO2-c,Ti3C2,Spin-coating,Stoichiometric,Diiodooctane,Spin-coating >> CBD,0.8431134151769053,Chlorobenzene,PTAA,TPFB,AgAl,98.43059044379454,0,65; 100-60.0; 30.0,0.9260625132589646
nip,SLG | FTO,SnO2-c,La,Spin-coating,PbCl2,Zn,Spin-coating,0.7243855908660339,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,400.3361015290835,0,65.0-1.0,0.9257617191833473
nip,SLG | FTO,SnO2-np,Al,Spin-coating,PbAc2,Pb(SCN)2,Spin-coating,0.9651601237955522,Chlorobenzene,PTAA,F4-TCNQ,AgAl,88.9916919843528,0,60; 120-2.0; 15.0,0.9257202284947609
nip,SLG | FTO,SnO2-np,Zr,Spin-coating,PbAc2,KSCN,Spin-coating,0.1063321899722326,Chlorobenzene,PTAA,LAD,Ag,94.05185158784408,0,60; 85-2.0; 25.0,0.925058780756019
nip,SLG | FTO,SnO2-c,Graphene-QDs,Spin-coating,PbI2; PbBr2,Graphene oxide,Spin-coating,0.23530050015047366,Chlorobenzene,PTAA,Li-TFSI,Al,92.49315911494851,0,40; 100-40.0; 10.0,0.9249459026235233
nip,SLG | FTO,SnO2-np,Al,Spin-coating,PbCl2,FEAI,Spin-coating,0.9810695802214651,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,101.11401743226718,1,60; 100-0.5; 5.0,0.9248293637039503
nip,SLG | FTO,SnO2-c,Undoped,CBD,NH4Cl,PEG-[60]fullerenes,Spin-coating,0.9809265621547715,Chlorobenzene,PTAA,Undoped,AgAl,64.9603338537081,0,60; 120-2.0; 15.0,0.9247083032006316
nip,SLG | FTO,SnO2-np,Guanidinium chloride,Spin-coating,PbAc2,Cs,Spin-coating,0.9402770051777579,Diethyl ether,PTAA,F4-TCNQ,AgAl,154.75649595211934,0,60; 100-3.0; 20.0,0.9246353669657661
nip,SLG | FTO,SnO2-c,AlCl3,Spin-coating,none,Benzoquinone,Spin-coating >> CBD,0.9674013465234786,Chlorobenzene,PTAA,F4-TCNQ,AgAl,94.93721404727151,0,60; 100-30.0; 90.0,0.9245300257284804
nip,SLG | FTO,SnO2-c,Undoped,Evaporation,Stoichiometric,Terephthalic acid,Spin-coating >> Spin-coating,0.9964182596976096,Diethyl ether,PTAA,TPFB,AgAl,127.97166995940165,0,65.0; 100-1.0; 10.0,0.9244529122796321
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,PbI2,DA2PbI4,Drop-infiltration,0.5245086510429731,Chlorobenzene,PTAA,Li-TFSI; TBP,Al,96.88653244485673,0,65.0-3.0,0.9241336586879578
nip,SLG | FTO,SnO2-c,Undoped,Evaporation,PbI2,Rb,Drop-infiltration,0.5534569149250179,Chlorobenzene,PTAA,Li-TFSI; TBP,Ag,92.58070716510471,0,60.0-5.0,0.9240871889700419
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,PbCl2,PEAI,Spin-coating,0.07694720122793097,Chlorobenzene,PTAA,Li-TFSI,AgAl,71.06755941083502,0,60; 100-0.5; 5.0,0.9239898283220275
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,Stoichiometric,Diiodooctane,Spin-coating,0.882355960855497,Chlorobenzene,PTAA,F4-TCNQ,AgAl,89.64824924226315,0,60; 100-3.0; 20.0,0.9235439185920192
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,PbAc2,BAI,Spin-coating,0.6232321435458633,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,Au,79.58336877132896,0,60; 80-1.5; 2.0,0.9231184070802756
nip,SLG | FTO,SnO2-c,Undoped,ALD,Pb,Cl; DPE,Spin-coating >> CBD,0.897442942768583,Chlorobenzene,PTAA,TPFB,AgAl,71.90914577354083,0,65.0; 100.0-2.0; 4.0,0.9230284949902463
nip,SLG | FTO,PCBM-60 | BCP,Undoped,Spin-coating | Spin-coating,PbCl2,Rb,Drop-infiltration >> CBD,0.9609997658002335,Chlorobenzene,PTAA,F4-TCNQ,AgAl,168.96444087609495,0,60.0; 85.0-2.0; 25.0,0.922893127696493
nip,SLG | FTO,SnO2-c,Li,Spin-coating,PbAc2,Diiodooctane,Spin-coating >> CBD,0.9086922760056602,Chlorobenzene,PTAA,Li-TFSI,AgAl,82.99981531895381,0,65; 100-10.0; 30.0,0.9228594185654838
nip,SLG | FTO,SnO2-np,Zr,Spin-coating,PbCl2,DMI,Spin-coating,0.9542568557894654,Diethyl ether,PTAA,Undoped,Al,69.23664543411567,0,60; 80-1.0; 2.0,0.9227925628358317
nip,SLG | FTO,SnO2-np,Al,Spin-coating,PbI2,AgI,Spin-coating >> CBD,0.7997874121525427,Chlorobenzene,PTAA,LAD,AgAl,128.85963857200073,0,65-2.0,0.922770931065657
nip,SLG | FTO,SnO2-np,Guanidinium chloride,Spin-coating,PbAc2,MACSN,Spin-coating,0.16568339693853118,Chlorobenzene,PTAA,LAD,AgAl,73.41351916000103,0,60.0; 85.0-2.0; 25.0,0.922635670596342
nip,SLG | FTO,SnO2-np,Undoped,Spin-coating,none,MA,Spin-coating,0.8557536970123678,Diethyl ether,Spiro-MeOTAD,FK211,AgAl,293.98747975404433,0,50; 85-1.5; 25.0,0.9226060830830477
nip,SLG | FTO,SnO2-c,Undoped,CBD,PbAc2,MOF,Doctor blading,0.8226831253734141,Toluene,PTAA,Li-TFSI,AgAl,53.20365116623355,0,65; 100-1.0; 10.0,0.9224301944767449
nip,SLG | FTO,PCBM-60,Undoped,Spin-coating,PbI2; PbBr2,Rb,Drop-infiltration,0.9584381205854609,Chlorobenzene,PTAA,Li-TFSI,AgAl,284.17626985878957,0,60; 100-1.0; 5.0,0.9223147302474786
nip,SLG | FTO,SnO2-c,Ti3C2,Spin-coating,PbAc2,DCL97,Spin-coating,0.9503859762214255,Chlorobenzene,P3HT,Li-TFSI; TBP,AgAl,98.27790231191702,0,100.0-144.0,0.9222254115331281
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,PbCl2,BAI,Spin-coating,0.9668613752272524,Chlorobenzene,Spiro-MeOTAD,Li-TFSI; TPB,AgAl,223.24108116872983,0,60; 100-3.0; 10.0,0.9220361887134345
nip,SLG | FTO,SnO2-c,Li,Spin-coating,PbI2,Rb,Drop-infiltration >> CBD,0.5743674947606308,Chlorobenzene,PTAA,Li-TFSI,AgAl,63.72711606484384,0,65.0; 100.0-2.0; 3.0,0.9218592021799307
nip,SLG | FTO,SnO2-np,Undoped,Spin-coating,PbAc2,Diiodooctane,Spin-coating,0.943937555877751,Chlorobenzene,PTAA,F4-TCNQ,AgAl,133.79309818187613,0,60; 100-15.0; 30.0,0.9218167051119824
nip,SLG | FTO,SnO2-c,MoCl5,Spin-coating,PbAc2,beta-cyclodextrin,Spin-coating,0.7678042277910987,Chlorobenzene,PTAA,Li-TFSI,AgAl,363.3086845911562,0,60; 100-1.0; 60.0,0.9215348328872128
nip,SLG | FTO,SnO2-np,Potassium O-hexyl xanthate,Spin-coating,PbAc2,beta-cyclodextrin,Spin-coating,0.5426579963031486,Chlorobenzene,PTAA,Li-TFSI,AgAl,74.614578135422,0,65.0; 100.0-1.0; 2.0,0.9215123816029254
nip,SLG | FTO,SnO2-c,MoCl5,Spin-coating,PbCl2,Zr(AC)4,Spin-coating,0.8092397601775229,Chlorobenzene,Spiro-MeOTAD,FK210,AgAl,86.07273640639139,0,50; 100-5.0; 10.0,0.9211952932599973
